Tanggal,Harga
2023-01-01,12250.0
2023-01-02,12130.0
2023-01-03,12060.0
2023-01-04,12150.0
2023-01-05,12250.0
2023-01-06,12180.0
2023-01-07,12170.0
2023-01-08,12270.0
2023-01-09,12310.0
2023-01-10,12290.0
2023-01-11,12310.0
2023-01-12,12340.0
2023-01-13,12270.0
2023-01-14,12410.0
2023-01-15,12360.0
2023-01-16,12340.0
2023-01-17,12380.0
2023-01-18,12390.0
2023-01-19,12410.0
2023-01-20,12370.0
2023-01-21,12420.0
2023-01-22,12410.0
2023-01-23,12410.0
2023-01-24,12360.0
2023-01-25,12440.0
2023-01-26,12440.0
2023-01-27,12350.0
2023-01-28,12380.0
2023-01-29,12470.0
2023-01-30,12470.0
2023-01-31,12500.0
2023-02-01,12510.0
2023-02-02,12660.0
2023-02-03,12640.0
2023-02-04,12740.0
2023-02-05,12590.0
2023-02-06,12820.0
2023-02-07,12820.0
2023-02-08,12790.0
2023-02-09,12900.0
2023-02-10,12750.0
2023-02-11,12810.0
2023-02-12,12740.0
2023-02-13,12810.0
2023-02-14,12710.0
2023-02-15,12790.0
2023-02-16,12760.0
2023-02-17,12800.0
2023-02-18,12820.0
2023-02-19,12780.0
2023-02-20,12700.0
2023-02-21,12690.0
2023-02-22,12790.0
2023-02-23,12660.0
2023-02-24,12570.0
2023-02-25,12640.0
2023-02-26,12530.0
2023-02-27,12540.0
2023-02-28,12560.0
2023-03-01,12500.0
2023-03-02,12570.0
2023-03-03,12560.0
2023-03-04,12580.0
2023-03-05,12460.0
2023-03-06,12500.0
2023-03-07,12510.0
2023-03-08,12450.0
2023-03-09,12520.0
2023-03-10,12490.0
2023-03-11,12510.0
2023-03-12,12480.0
2023-03-13,12550.0
2023-03-14,12620.0
2023-03-15,12620.0
2023-03-16,12610.0
2023-03-17,12760.0
2023-03-18,12650.0
2023-03-19,12630.0
2023-03-20,12800.0
2023-03-21,12750.0
2023-03-22,12730.0
2023-03-23,12750.0
2023-03-24,12820.0
2023-03-25,12740.0
2023-03-26,12630.0
2023-03-27,12780.0
2023-03-28,12720.0
2023-03-29,12780.0
2023-03-30,12850.0
2023-03-31,12840.0
2023-04-01,12870.0
2023-04-02,12740.0
2023-04-03,12770.0
2023-04-04,12790.0
2023-04-05,12790.0
2023-04-06,12710.0
2023-04-07,12690.0
2023-04-08,12780.0
2023-04-09,12690.0
2023-04-10,12720.0
2023-04-11,12750.0
2023-04-12,12690.0
2023-04-13,12790.0
2023-04-14,12720.0
2023-04-15,12700.0
2023-04-16,12720.0
2023-04-17,12670.0
2023-04-18,12710.0
2023-04-19,12820.0
2023-04-20,12830.0
2023-04-21,12790.0
2023-04-22,12770.0
2023-04-23,12740.0
2023-04-24,12680.0
2023-04-25,12730.0
2023-04-26,12710.0
2023-04-27,12680.0
2023-04-28,12700.0
2023-04-29,12720.0
2023-04-30,12700.0
2023-05-01,12680.0
2023-05-02,12720.0
2023-05-03,12750.0
2023-05-04,12660.0
2023-05-05,12690.0
2023-05-06,12620.0
2023-05-07,12660.0
2023-05-08,12700.0
2023-05-09,12670.0
2023-05-10,12700.0
2023-05-11,12660.0
2023-05-12,12620.0
2023-05-13,12610.0
2023-05-14,12650.0
2023-05-15,12710.0
2023-05-16,12590.0
2023-05-17,12620.0
2023-05-18,12680.0
2023-05-19,12650.0
2023-05-20,12540.0
2023-05-21,12640.0
2023-05-22,12580.0
2023-05-23,12650.0
2023-05-24,12650.0
2023-05-25,12650.0
2023-05-26,12590.0
2023-05-27,12680.0
2023-05-28,12640.0
2023-05-29,12630.0
2023-05-30,12710.0
2023-05-31,12700.0
2023-06-01,12640.0
2023-06-02,12730.0
2023-06-03,12640.0
2023-06-04,12750.0
2023-06-05,12680.0
2023-06-06,12710.0
2023-06-07,12720.0
2023-06-08,12720.0
2023-06-09,12710.0
2023-06-10,12700.0
2023-06-11,12700.0
2023-06-12,12720.0
2023-06-13,12710.0
2023-06-14,12760.0
2023-06-15,12730.0
2023-06-16,12630.0
2023-06-17,12680.0
2023-06-18,12720.0
2023-06-19,12650.0
2023-06-20,12650.0
2023-06-21,12670.0
2023-06-22,12680.0
2023-06-23,12660.0
2023-06-24,12680.0
2023-06-25,12690.0
2023-06-26,12730.0
2023-06-27,12620.0
2023-06-28,12610.0
2023-06-29,12680.0
2023-06-30,12680.0
2023-07-01,12760.0
2023-07-02,12640.0
2023-07-03,12670.0
2023-07-04,12720.0
2023-07-05,12740.0
2023-07-06,12660.0
2023-07-07,12660.0
2023-07-08,12700.0
2023-07-09,12680.0
2023-07-10,12610.0
2023-07-11,12640.0
2023-07-12,12660.0
2023-07-13,12670.0
2023-07-14,12710.0
2023-07-15,12740.0
2023-07-16,12660.0
2023-07-17,12700.0
2023-07-18,12690.0
2023-07-19,12740.0
2023-07-20,12730.0
2023-07-21,12720.0
2023-07-22,12710.0
2023-07-23,12720.0
2023-07-24,12700.0
2023-07-25,12710.0
2023-07-26,12730.0
2023-07-27,12750.0
2023-07-28,12710.0
2023-07-29,12820.0
2023-07-30,12740.0
2023-07-31,12660.0
2023-08-01,12690.0
2023-08-02,12730.0
2023-08-03,12710.0
2023-08-04,12730.0
2023-08-05,12730.0
2023-08-06,12730.0
2023-08-07,12750.0
2023-08-08,12720.0
2023-08-09,12740.0
2023-08-10,12760.0
2023-08-11,12660.0
2023-08-12,12740.0
2023-08-13,12690.0
2023-08-14,12760.0
2023-08-15,12740.0
2023-08-16,12790.0
2023-08-17,12830.0
